genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.21980	Klebsiella pneumoniae strain EuSCAPE_ES105	Susceptible	AMR Panel
573.21981	Klebsiella pneumoniae strain EuSCAPE_ES106	Susceptible	AMR Panel
573.21982	Klebsiella pneumoniae strain EuSCAPE_HU012	Susceptible	AMR Panel
573.21983	Klebsiella pneumoniae strain EuSCAPE_HU011	Susceptible	AMR Panel
573.21984	Klebsiella pneumoniae strain EuSCAPE_BU020	Susceptible	AMR Panel
573.21985	Klebsiella pneumoniae strain EuSCAPE_HU013	Susceptible	AMR Panel
573.21986	Klebsiella pneumoniae strain EuSCAPE_HU015	Susceptible	AMR Panel
573.21987	Klebsiella pneumoniae strain EuSCAPE_HU014	Resistant	AMR Panel
573.21988	Klebsiella pneumoniae strain EuSCAPE_HU016	Susceptible	AMR Panel
573.21989	Klebsiella pneumoniae strain EuSCAPE_HU018	Susceptible	AMR Panel
573.21990	Klebsiella pneumoniae strain EuSCAPE_HU017	Susceptible	AMR Panel
573.21991	Klebsiella pneumoniae strain EuSCAPE_HU019	Susceptible	AMR Panel
573.21992	Klebsiella pneumoniae strain EuSCAPE_BU021	Susceptible	AMR Panel
573.21993	Klebsiella pneumoniae strain EuSCAPE_HU023	Susceptible	AMR Panel
573.21994	Klebsiella pneumoniae strain EuSCAPE_HU022	Susceptible	AMR Panel
573.21995	Klebsiella pneumoniae strain EuSCAPE_HU024	Susceptible	AMR Panel
573.21996	Klebsiella pneumoniae strain EuSCAPE_HU021	Susceptible	AMR Panel
573.21997	Klebsiella pneumoniae strain EuSCAPE_HU027	Susceptible	AMR Panel
573.21998	Klebsiella pneumoniae strain EuSCAPE_HU026	Susceptible	AMR Panel
573.21999	Klebsiella pneumoniae strain EuSCAPE_HU025	Susceptible	AMR Panel
573.22000	Klebsiella pneumoniae strain EuSCAPE_HU031	Susceptible	AMR Panel
573.22001	Klebsiella pneumoniae strain EuSCAPE_HU029	Susceptible	AMR Panel
573.22002	Klebsiella pneumoniae strain EuSCAPE_HU033	Susceptible	AMR Panel
573.22003	Klebsiella pneumoniae strain EuSCAPE_HU028	Susceptible	AMR Panel
573.22004	Klebsiella pneumoniae strain EuSCAPE_HU036	Susceptible	AMR Panel
573.22005	Klebsiella pneumoniae strain EuSCAPE_BU022	Susceptible	AMR Panel
573.22006	Klebsiella pneumoniae strain EuSCAPE_HU049	Susceptible::Resistant	Computational Prediction
573.22007	Klebsiella pneumoniae strain EuSCAPE_HU044	Susceptible::Resistant	Computational Prediction
573.22008	Klebsiella pneumoniae strain EuSCAPE_HU037	Susceptible::Resistant	Computational Prediction
573.22009	Klebsiella pneumoniae strain EuSCAPE_HU050	Susceptible::Resistant	Computational Prediction
573.2201	Klebsiella pneumoniae strain MJR8396D		
573.22010	Klebsiella pneumoniae strain EuSCAPE_HU052	Resistant::Susceptible	Computational Prediction
573.22011	Klebsiella pneumoniae strain EuSCAPE_HU047	Susceptible::Resistant	Computational Prediction
573.22012	Klebsiella pneumoniae strain EuSCAPE_HU051	Susceptible::Resistant	Computational Prediction
573.22013	Klebsiella pneumoniae strain EuSCAPE_HU042	Susceptible::Resistant	Computational Prediction
573.22014	Klebsiella pneumoniae strain EuSCAPE_HU041	Susceptible::Resistant	Computational Prediction
573.22015	Klebsiella pneumoniae strain EuSCAPE_HU053	Susceptible::Resistant	Computational Prediction
573.22016	Klebsiella pneumoniae strain EuSCAPE_HU062	Susceptible::Resistant	Computational Prediction
573.22017	Klebsiella pneumoniae strain EuSCAPE_BU024	Susceptible	AMR Panel
573.22018	Klebsiella pneumoniae strain EuSCAPE_ES039	Susceptible	AMR Panel
573.22019	Klebsiella pneumoniae strain EuSCAPE_ES261	Susceptible	AMR Panel
573.2202	Klebsiella pneumoniae strain YH43		
573.22020	Klebsiella pneumoniae strain EuSCAPE_HU002	Susceptible	AMR Panel
573.22021	Klebsiella pneumoniae strain EuSCAPE_HU065	Susceptible	Computational Prediction
573.22022	Klebsiella pneumoniae strain EuSCAPE_HU001	Susceptible	AMR Panel
573.22023	Klebsiella pneumoniae strain EuSCAPE_ES270	Susceptible	AMR Panel
573.22024	Klebsiella pneumoniae strain EuSCAPE_HU003	Susceptible	AMR Panel
573.22025	Klebsiella pneumoniae strain EuSCAPE_ES200	Susceptible	AMR Panel
573.22026	Klebsiella pneumoniae strain EuSCAPE_ES202	Susceptible	AMR Panel
573.22027	Klebsiella pneumoniae strain EuSCAPE_ES205	Susceptible	AMR Panel
573.22028	Klebsiella pneumoniae strain EuSCAPE_ES208	Susceptible	AMR Panel
573.22029	Klebsiella pneumoniae strain EuSCAPE_ES206	Susceptible	AMR Panel
573.2203	Klebsiella pneumoniae strain YMC 2013/7/B3993		
573.22030	Klebsiella pneumoniae strain EuSCAPE_ES209	Susceptible	AMR Panel
573.22031	Klebsiella pneumoniae strain EuSCAPE_ES204	Susceptible	AMR Panel
573.22032	Klebsiella pneumoniae strain EuSCAPE_ES207	Susceptible	AMR Panel
573.22033	Klebsiella pneumoniae strain EuSCAPE_ES210	Susceptible	AMR Panel
573.22034	Klebsiella pneumoniae strain EuSCAPE_ES271	Susceptible	AMR Panel
573.22035	Klebsiella pneumoniae strain EuSCAPE_ES212	Susceptible	AMR Panel
573.22036	Klebsiella pneumoniae strain EuSCAPE_ES211	Susceptible	AMR Panel
573.22037	Klebsiella pneumoniae strain EuSCAPE_ES219	Susceptible	AMR Panel
573.22038	Klebsiella pneumoniae strain EuSCAPE_ES217	Susceptible	AMR Panel
573.22039	Klebsiella pneumoniae strain EuSCAPE_ES215	Susceptible	AMR Panel
573.2204	Klebsiella pneumoniae strain GPKP		
573.22040	Klebsiella pneumoniae strain EuSCAPE_ES218	Susceptible	AMR Panel
573.22041	Klebsiella pneumoniae strain EuSCAPE_ES221	Susceptible	AMR Panel
573.22042	Klebsiella pneumoniae strain EuSCAPE_ES214	Susceptible	AMR Panel
573.22043	Klebsiella pneumoniae strain EuSCAPE_ES220	Susceptible	AMR Panel
573.22044	Klebsiella pneumoniae strain EuSCAPE_ES223	Susceptible	AMR Panel
573.22045	Klebsiella pneumoniae strain EuSCAPE_ES222	Susceptible	AMR Panel
573.22046	Klebsiella pneumoniae strain EuSCAPE_ES232	Susceptible	AMR Panel
573.22047	Klebsiella pneumoniae strain EuSCAPE_ES234	Susceptible	AMR Panel
573.22048	Klebsiella pneumoniae strain EuSCAPE_ES225	Susceptible	AMR Panel
573.22049	Klebsiella pneumoniae strain EuSCAPE_ES228	Susceptible	AMR Panel
573.2205	Klebsiella pneumoniae strain LPKP		
573.22050	Klebsiella pneumoniae strain EuSCAPE_ES273	Susceptible	AMR Panel
573.22051	Klebsiella pneumoniae strain EuSCAPE_ES229	Susceptible	AMR Panel
573.22052	Klebsiella pneumoniae strain EuSCAPE_ES224	Susceptible	AMR Panel
573.22053	Klebsiella pneumoniae strain EuSCAPE_ES235	Susceptible	AMR Panel
573.22054	Klebsiella pneumoniae strain EuSCAPE_ES241	Susceptible	AMR Panel
573.22055	Klebsiella pneumoniae strain EuSCAPE_ES245	Susceptible	AMR Panel
573.22056	Klebsiella pneumoniae strain EuSCAPE_ES243	Susceptible	AMR Panel
573.22057	Klebsiella pneumoniae strain EuSCAPE_ES242	Susceptible	AMR Panel
573.22058	Klebsiella pneumoniae strain EuSCAPE_ES237	Susceptible	AMR Panel
573.22059	Klebsiella pneumoniae strain EuSCAPE_ES244	Susceptible	AMR Panel
573.22060	Klebsiella pneumoniae strain EuSCAPE_ES275	Susceptible	AMR Panel
573.22061	Klebsiella pneumoniae strain EuSCAPE_ES248	Susceptible	AMR Panel
573.22062	Klebsiella pneumoniae strain EuSCAPE_ES249	Susceptible	AMR Panel
573.22063	Klebsiella pneumoniae strain EuSCAPE_ES246	Susceptible	AMR Panel
573.22064	Klebsiella pneumoniae strain EuSCAPE_ES256	Susceptible	AMR Panel
573.22065	Klebsiella pneumoniae strain EuSCAPE_ES250	Susceptible	AMR Panel
573.22066	Klebsiella pneumoniae strain EuSCAPE_ES251	Susceptible	AMR Panel
573.22067	Klebsiella pneumoniae strain EuSCAPE_ES252	Resistant	AMR Panel
573.22068	Klebsiella pneumoniae strain EuSCAPE_ES253	Susceptible	AMR Panel
573.22069	Klebsiella pneumoniae strain EuSCAPE_ES254	Susceptible	AMR Panel
573.22070	Klebsiella pneumoniae strain EuSCAPE_ES257	Susceptible	AMR Panel
573.22071	Klebsiella pneumoniae strain EuSCAPE_ES259	Susceptible	AMR Panel
573.22072	Klebsiella pneumoniae strain EuSCAPE_ES258	Susceptible	AMR Panel
573.22073	Klebsiella pneumoniae strain EuSCAPE_ES279	Susceptible	AMR Panel
573.22074	Klebsiella pneumoniae strain EuSCAPE_ES281	Susceptible	AMR Panel
