genome.genome_id	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.resistant_phenotype
1094170.3	1094170.3	fosfomycin	
1094170.3	1094170.3	cefoxitin	
1094170.3	1094170.3	gentamicin	
1094170.3	1094170.3	imipenem	
1094170.3	1094170.3	levofloxacin	
1094170.3	1094170.3	meropenem	
1094170.3	1094170.3	minocycline	
1094170.3	1094170.3	nitrofurantoin	
1094170.3	1094170.3	ampicillin/sulbactam	
1094170.3	1094170.3	tetracycline	
1094170.3	1094170.3	tigecycline	
1094170.3	1094170.3	tobramycin	
1094170.3	1094170.3	piperacillin/tazobactam	
1094170.3	1094170.3	cefepime	
1094170.3	1094170.3	amoxicillin/clavulanic acid	
1094170.3	1094170.3	ampicillin	
1094170.3	1094170.3	ceftriaxone	
1094170.3	1094170.3	ertapenem	
1094170.3	1094170.3	tigecycline	
1094170.3	1094170.3	piperacillin/tazobactam	
1094170.3	1094170.3	meropenem	
1094170.3	1094170.3	trimethoprim/sulfamethoxazole	
1094170.3	1094170.3	levofloxacin	
1094170.3	1094170.3	cefotaxime	
1094170.3	1094170.3	amikacin	
1094170.3	1094170.3	gentamicin	
1094170.3	1094170.3	cefoxitin	
1094170.3	1094170.3	imipenem	
1094170.3	1094170.3	ceftazidime	
1094170.3	1094170.3	colistin	
1094170.3	1094170.3	ciprofloxacin	
1094170.3	1094170.3	tetracycline	
1094170.3	1094170.3	cefazolin	
1094170.3	1094170.3	tobramycin	
1094170.3	1094170.3	aztreonam	
1094170.3	1094170.3	rifampin	
1094170.3	1094170.3	polymyxin B	
1094170.3	1094170.3	trimethoprim/sulfamethoxazole	
1094170.7	1094170.7	amoxicillin/clavulanic acid	
1094170.7	1094170.7	amikacin	
1094170.7	1094170.7	ampicillin	
1094170.7	1094170.7	aztreonam	
1094170.7	1094170.7	ceftazidime	
1094170.7	1094170.7	cefazolin	
1094170.7	1094170.7	chloramphenicol	
1094170.7	1094170.7	ciprofloxacin	
1094170.7	1094170.7	ceftriaxone	
1094170.7	1094170.7	colistin	
1094170.7	1094170.7	cefotaxime	
1094170.7	1094170.7	cefotaxime/clavulanic acid	
1094170.7	1094170.7	cefuroxime	
1094170.7	1094170.7	doripenem	
1094170.7	1094170.7	ertapenem	
1094170.7	1094170.7	cefepime	
1094170.7	1094170.7	fosfomycin	
1094170.7	1094170.7	cefoxitin	
1094170.7	1094170.7	gentamicin	
1094170.7	1094170.7	imipenem	
1094170.7	1094170.7	levofloxacin	
1094170.7	1094170.7	meropenem	
1094170.7	1094170.7	minocycline	
1094170.7	1094170.7	nitrofurantoin	
1094170.7	1094170.7	ampicillin/sulbactam	
1094170.7	1094170.7	tetracycline	
1094170.7	1094170.7	tigecycline	
1094170.7	1094170.7	tobramycin	
1094170.7	1094170.7	piperacillin/tazobactam	
1094170.7	1094170.7	polymyxin B	
1094170.7	1094170.7	trimethoprim/sulfamethoxazole	
1094170.8	1094170.8	amoxicillin/clavulanic acid	
1094170.8	1094170.8	amikacin	
1094170.8	1094170.8	ampicillin	
1094170.8	1094170.8	aztreonam	
1094170.8	1094170.8	ceftazidime	
1094170.8	1094170.8	cefazolin	
1094170.8	1094170.8	chloramphenicol	
1094170.8	1094170.8	ciprofloxacin	
1094170.8	1094170.8	ceftriaxone	
1094170.8	1094170.8	colistin	
1094170.8	1094170.8	cefotaxime	
1094170.8	1094170.8	cefotaxime/clavulanic acid	
1094170.8	1094170.8	cefuroxime	
1094170.8	1094170.8	doripenem	
1094170.8	1094170.8	ertapenem	
1094170.8	1094170.8	cefepime	
1094170.8	1094170.8	fosfomycin	
1094170.8	1094170.8	cefoxitin	
1094170.8	1094170.8	gentamicin	
1094170.8	1094170.8	imipenem	
1094170.8	1094170.8	levofloxacin	
1094170.8	1094170.8	meropenem	
1094170.8	1094170.8	minocycline	
1094170.8	1094170.8	nitrofurantoin	
1094170.8	1094170.8	ampicillin/sulbactam	
1094170.8	1094170.8	tetracycline	
1094170.8	1094170.8	tigecycline	
1094170.8	1094170.8	tobramycin	
1094170.8	1094170.8	piperacillin/tazobactam	
1094170.8	1094170.8	polymyxin B	
1094170.8	1094170.8	trimethoprim/sulfamethoxazole	
1094170.9	1094170.9	amoxicillin/clavulanic acid	
1094170.9	1094170.9	amikacin	
1094170.9	1094170.9	ampicillin	
1094170.9	1094170.9	aztreonam	
1094170.9	1094170.9	ceftazidime	
1094170.9	1094170.9	cefazolin	
1094170.9	1094170.9	chloramphenicol	
1094170.9	1094170.9	ciprofloxacin	
1094170.9	1094170.9	ceftriaxone	
1094170.9	1094170.9	colistin	
1094170.9	1094170.9	cefotaxime	
1094170.9	1094170.9	cefotaxime/clavulanic acid	
1094170.9	1094170.9	cefuroxime	
1094170.9	1094170.9	doripenem	
1094170.9	1094170.9	ertapenem	
1094170.9	1094170.9	cefepime	
1094170.9	1094170.9	fosfomycin	
1094170.9	1094170.9	cefoxitin	
1094170.9	1094170.9	gentamicin	
1094170.9	1094170.9	imipenem	
1094170.9	1094170.9	levofloxacin	
1094170.9	1094170.9	meropenem	
1094170.9	1094170.9	minocycline	
1094170.9	1094170.9	nitrofurantoin	
1094170.9	1094170.9	ampicillin/sulbactam	
1094170.9	1094170.9	tetracycline	
1094170.9	1094170.9	tigecycline	
1094170.9	1094170.9	tobramycin	
1094170.9	1094170.9	piperacillin/tazobactam	
1094170.9	1094170.9	polymyxin B	
1094170.9	1094170.9	trimethoprim/sulfamethoxazole	
1094171.3	1094171.3	amoxicillin/clavulanic acid	
1094171.3	1094171.3	amikacin	
1094171.3	1094171.3	ampicillin	
1094171.3	1094171.3	aztreonam	
1094171.3	1094171.3	ceftazidime	
1094171.3	1094171.3	cefazolin	
1094171.3	1094171.3	chloramphenicol	
1094171.3	1094171.3	ciprofloxacin	
1094171.3	1094171.3	ceftriaxone	
1094171.3	1094171.3	colistin	
1094171.3	1094171.3	cefotaxime	
1094171.3	1094171.3	cefotaxime/clavulanic acid	
1094171.3	1094171.3	cefuroxime	
1094171.3	1094171.3	doripenem	
1094171.3	1094171.3	ertapenem	
1094171.3	1094171.3	cefepime	
1094171.3	1094171.3	fosfomycin	
1094171.3	1094171.3	cefoxitin	
1094171.3	1094171.3	gentamicin	
1094171.3	1094171.3	imipenem	
1094171.3	1094171.3	levofloxacin	
1094171.3	1094171.3	meropenem	
1094171.3	1094171.3	minocycline	
1094171.3	1094171.3	nitrofurantoin	
1094171.3	1094171.3	ampicillin/sulbactam	
1094171.3	1094171.3	tetracycline	
1094171.3	1094171.3	tigecycline	
1094171.3	1094171.3	tobramycin	
1094171.3	1094171.3	piperacillin/tazobactam	
1094171.3	1094171.3	cefazolin	
1094171.3	1094171.3	cefotaxime	
1094171.3	1094171.3	tobramycin	
1094171.3	1094171.3	levofloxacin	
1094171.3	1094171.3	ampicillin	
1094171.3	1094171.3	cefoxitin	
1094171.3	1094171.3	cefepime	
1094171.3	1094171.3	ciprofloxacin	
1094171.3	1094171.3	amoxicillin/clavulanic acid	
1094171.3	1094171.3	gentamicin	
1094171.3	1094171.3	amikacin	
1094171.3	1094171.3	meropenem	
1094171.3	1094171.3	tetracycline	
1094171.3	1094171.3	trimethoprim/sulfamethoxazole	
1094171.3	1094171.3	rifampin	
1094171.3	1094171.3	tigecycline	
1094171.3	1094171.3	ertapenem	
1094171.3	1094171.3	aztreonam	
1094171.3	1094171.3	ceftazidime	
1094171.3	1094171.3	piperacillin/tazobactam	
1094171.3	1094171.3	imipenem	
1094171.3	1094171.3	colistin	
1094171.3	1094171.3	ceftriaxone	
1094171.3	1094171.3	polymyxin B	
1094171.3	1094171.3	trimethoprim/sulfamethoxazole	
1087440.10	1087440.10	amoxicillin/clavulanic acid	
1087440.10	1087440.10	amikacin	
1087440.10	1087440.10	ampicillin	
